公司	簡稱	年/月	TCRI
1101   	台泥         	201912	3 
1707   	葡萄王       	201912	4 
2002   	中鋼         	201912	3 
2207   	和泰車       	201912	4 
2912   	統一超       	201912	1 
3045   	台灣大       	201912	2 
9910   	豐泰         	201912	2 
1101   	台泥         	202003	3 
1707   	葡萄王       	202003	4 
2002   	中鋼         	202003	3 
2207   	和泰車       	202003	4 
2912   	統一超       	202003	1 
3045   	台灣大       	202003	2 
9910   	豐泰         	202003	2 
1101   	台泥         	202006	3 
1707   	葡萄王       	202006	4 
2002   	中鋼         	202006	3 
2207   	和泰車       	202006	4 
2912   	統一超       	202006	1 
3045   	台灣大       	202006	2 
9910   	豐泰         	202006	2 
1101   	台泥         	202009	3 
1707   	葡萄王       	202009	4 
2002   	中鋼         	202009	3 
2207   	和泰車       	202009	4 
2912   	統一超       	202009	1 
3045   	台灣大       	202009	2 
9910   	豐泰         	202009	2 
